id,recipe_id,direction_number,direction,created_at,updated_at
1,1,1,"In a nonstick frying pan heat some cooking oil till it start to smoke","2022-12-15 14:48:10","2022-12-15 14:48:10"
2,1,2,"Add in the onion and stir cook until translucent","2022-12-15 14:48:10","2022-12-15 14:48:10"
3,1,3,"Add in the tomatoes and stir cook until it start to wilt","2022-12-15 14:48:10","2022-12-15 14:48:10"
4,1,4,"Season with salt to taste","2022-12-15 14:48:10","2022-12-15 14:48:10"
5,1,5,"Now bring the heat down to moderate to low","2022-12-15 14:48:10","2022-12-15 14:48:10"
6,1,6,"Stir in the beaten eggs, stir sparingly or fold the mixture until the eggs sets","2022-12-15 14:48:10","2022-12-15 14:48:10"
7,1,7,"Serve with garlic fried rice or pandesal","2022-12-15 14:48:10","2022-12-15 14:48:10"
8,2,1,"Place carrots in a small saucepan and cover with water","2022-12-15 14:48:10","2022-12-15 14:48:10"
9,2,2,"Bring to a low boil and cook for 3 to 5 minutes","2022-12-15 14:48:10","2022-12-15 14:48:10"
10,2,3,"Stir in peas, then immediately drain in a colander","2022-12-15 14:48:10","2022-12-15 14:48:10"
11,2,4,"Heat a wok over high heat","2022-12-15 14:48:10","2022-12-15 14:48:10"
12,2,5,"Pour in vegetable oil, then stir in carrots, peas, and garlic; cook for about 30 seconds","2022-12-15 14:48:10","2022-12-15 14:48:10"
13,2,6,"Add eggs; stir quickly to scramble eggs with vegetables","2022-12-15 14:48:10","2022-12-15 14:48:10"
14,2,7,"Stir in cooked rice","2022-12-15 14:48:10","2022-12-15 14:48:10"
15,2,8,"Add soy sauce and toss rice to coat","2022-12-15 14:48:10","2022-12-15 14:48:10"
16,2,9,"Drizzle with sesame oil and toss again","2022-12-15 14:48:10","2022-12-15 14:48:10"
17,3,1,"Making this dish is quick and easy","2022-12-15 14:48:10","2022-12-15 14:48:10"
18,3,2,"The first thing to do is prepare the tofu","2022-12-15 14:48:10","2022-12-15 14:48:10"
19,3,3,"Make sure to use extra firm tofu for this recipe","2022-12-15 14:48:10","2022-12-15 14:48:10"
20,3,4,"This type is perfect for frying","2022-12-15 14:48:10","2022-12-15 14:48:10"
21,3,5,"Deep-fry the tofu slices until golden brown","2022-12-15 14:48:10","2022-12-15 14:48:10"
22,3,6,"Remove from the pot and then slice into cubes","2022-12-15 14:48:10","2022-12-15 14:48:10"
23,3,7,"Set it aside","2022-12-15 14:48:10","2022-12-15 14:48:10"
24,3,8,"Start to cook the dish by saut?Ÿ??ing garlic, onion, and tomato","2022-12-15 14:48:10","2022-12-15 14:48:10"
25,3,9,"Heat oil in a wok or pan","2022-12-15 14:48:10","2022-12-15 14:48:10"
26,3,10,"Add the garlic and onion","2022-12-15 14:48:10","2022-12-15 14:48:10"
27,3,11,"Cook for 30 seconds","2022-12-15 14:48:10","2022-12-15 14:48:10"
28,3,12,"Put the chopped tomato and continue to saute until both onion and tomato softens","2022-12-15 14:48:10","2022-12-15 14:48:10"
29,3,13,"The garlic should be a bit brown at this point","2022-12-15 14:48:10","2022-12-15 14:48:10"
30,3,14,"Add shrimp and cook until it turns orangey","2022-12-15 14:48:10","2022-12-15 14:48:10"
31,3,15,"It is best to remove the head and shell of the shrimp before cooking","2022-12-15 14:48:10","2022-12-15 14:48:10"
