id,recipe_name,description,author_id,author_name,is_approved,created_at,updated_at
1,"Ginisang Itlog","a Pinoy version of scrambled egg with tomatoes and onions",99936791586,admin,1,"2022-12-15 14:37:13","2022-12-15 14:37:18"
2,"Fried Rice","cooked rice that is stir-fried typically with soy sauce, beaten egg, chopped meat, and vegetables.",99936791586,admin,1,"2022-12-15 14:37:13","2022-12-15 14:37:18"
3,"Togue Guisado","Saut?Ÿ?›?›ƒ???ª???­ed Bean Sprouts and Tofu with vegetables",99936791586,admin,1,"2022-12-15 14:37:13","2022-12-15 14:37:18"
4,"Sardines Sandwich","sardines with mayo and pandesal",99936791586,admin,1,"2022-12-15 14:37:13","2022-12-15 14:37:18"
5,"Ginisang Repolyo","sauted cabbage with some garlic and onion.",99936791586,admin,1,"2022-12-15 14:37:13","2022-12-15 14:37:18"
6,"Kangkong at Tokwa in Oyster Sauce","This dish combines kind of salty yet earthy combination of tofu, kangkong and oyster sauce.",99936791586,admin,1,"2022-12-15 14:37:13","2022-12-15 14:37:18"
7,"Talong Surprise","This dish mixes the deep flavors and textures of your eggplant, combining it with the light and cream flavors of your whisked egg.",99936791586,admin,1,"2022-12-15 14:37:13","2022-12-15 14:37:18"
8,"Asadong Itog","This dish combines the rich flavor of eggs with the fresh and crunchy texture of pechay, cooked in a sweet and tangy asado sauce",99936791586,admin,1,"2022-12-15 14:37:13","2022-12-15 14:37:18"
9,"Corn Soup","deliciously creamy, comforting soup",99936791586,admin,1,"2022-12-15 14:37:13","2022-12-15 14:37:18"
10,"Tortang Ampalaya","frankly a comforting and humbling dish to have as its main ingredients are just ampalaya and eggs",99936791586,admin,1,"2022-12-15 14:37:13","2022-12-15 14:37:18"
11,"Ginisang Petchay with Giniling","Simple yet nutritious and delicious",99936791586,admin,1,"2022-12-15 14:37:13","2022-12-15 14:37:18"
12,"Ginisang Okra with Tinapa","This dish combines the fresh flavors of okra with the salty sundried fish taste of Tinapa.",99936791586,admin,1,"2022-12-15 14:37:13","2022-12-15 14:37:18"
13,"Ginisang Ampalaya with Tinapa","Ampalaya leaves with smoked fish is delicious as it is nutritious",99936791586,admin,1,"2022-12-15 14:37:13","2022-12-15 14:37:18"
14,"Ginisang Sayote","is a simple recipe that has chayote saut?Ÿ?›?›ƒ???ª???­ed with garlic, onion, and tomato (along with ground pork",99936791586,admin,1,"2022-12-15 14:37:13","2022-12-15 14:37:18"
15,"Banana Heart Balls","banana blossom balls recipe is a healthy and flavorful snack made with the infamous banana heart that can include a surprise cheese inside",99936791586,admin,1,"2022-12-15 14:37:13","2022-12-15 14:37:18"
16,"Tinola sa Buko","This dish combines the sweet and light flavors of coconut juice combined with a strong ginger taste mixed with the rich flavors of chicken and vegetables.",99936791586,admin,1,"2022-12-15 14:37:13","2022-12-15 14:37:18"
17,"Beef and Sigarilyas","This simple dish uses the rich flavor of beef combined with the fresh and crunchy taste of sigarilyas cooked in the thick soy spiced sauce.",99936791586,admin,1,"2022-12-15 14:37:13","2022-12-15 14:37:18"
18,"Sinabawang Kalabasa","This soup uses the rich flavor and texture of kalabasa mixed with malunggay leaves, combined in a light chicken broth, to create a heart healthy dish.",99936791586,admin,1,"2022-12-15 14:37:13","2022-12-15 14:37:18"
19,"Inasal sa Mais","This snack time recipe uses the garden fresh taste and texture of yellow sweet corn, grilled and seasoned; served with Inasal ginger dipping oil",99936791586,admin,1,"2022-12-15 14:37:13","2022-12-15 14:37:18"
20,"Pinatisang Manok","This dish combines the rich and fresh flavor of chicken infused with ginger spice cooked in fish sauce based broth served with chili leaves.",99936791586,admin,1,"2022-12-15 14:37:13","2022-12-15 14:37:18"
21,"Monggo Soup With Malunggay Leaves","This heart healthy dish uses the fresh flavor of Monggo beans mixed with saut?Ÿ?›?›ƒ???ª???­ed onions and garlic, topped with malunggay.",99936791586,admin,1,"2022-12-15 14:37:13","2022-12-15 14:37:18"
22,"Tokwa Sarciado","is a low-fat Filipino dish involving tofu. Extra-firm tofu are fried until brown and then cooked in a sauce made from sauteed vegetables.",99936791586,admin,1,"2022-12-15 14:37:13","2022-12-15 14:37:18"
23,"Adobong Sitaw","made of long beans and can include pork belly,that packs great flavors.",99936791586,admin,1,"2022-12-15 14:37:13","2022-12-15 14:37:18"
24,"Adobong Talong","Is a recipe that lets the marinade get soaked into the eggplant, letting the soft and tender vegetable get incredibly flavorful.",99936791586,admin,1,"2022-12-15 14:37:13","2022-12-15 14:37:18"
