id,recipe_id,direction_number,direction,,
1,1,1,In a nonstick frying pan heat some cooking oil till it start to smoke,,
2,1,2,Add in the onion and stir cook until translucent,,
3,1,3,Add in the tomatoes and stir cook until it start to wilt,,
4,1,4,Season with salt to taste,,
5,1,5,Now bring the heat down to moderate to low,,
6,1,6,"Stir in the beaten eggs, stir sparingly or fold the mixture until the eggs sets",,
7,1,7,Serve with garlic fried rice or pandesal,,
8,2,1,Place carrots in a small saucepan and cover with water,,
9,2,2,Bring to a low boil and cook for 3 to 5 minutes,,
10,2,3,"Stir in peas, then immediately drain in a colander",,
11,2,4,Heat a wok over high heat,,
12,2,5,"Pour in vegetable oil, then stir in carrots, peas, and garlic; cook for about 30 seconds",,
13,2,6,Add eggs; stir quickly to scramble eggs with vegetables,,
14,2,7,Stir in cooked rice,,
15,2,8,Add soy sauce and toss rice to coat,,
16,2,9,Drizzle with sesame oil and toss again,,
17,3,1,Making this dish is quick and easy,,
18,3,2,The first thing to do is prepare the tofu,,
19,3,3,Make sure to use extra firm tofu for this recipe,,
20,3,4,This type is perfect for frying,,
21,3,5,Deep-fry the tofu slices until golden brown,,
22,3,6,Remove from the pot and then slice into cubes,,
23,3,7,Set it aside,,
24,3,8,"Start to cook the dish by saut?Ÿ??ing garlic, onion, and tomato",,
25,3,9,Heat oil in a wok or pan,,
26,3,10,Add the garlic and onion,,
27,3,11,Cook for 30 seconds,,
28,3,12,Put the chopped tomato and continue to saute until both onion and tomato softens,,
29,3,13,The garlic should be a bit brown at this point,,
30,3,14,Add shrimp and cook until it turns orangey,,
31,3,15,It is best to remove the head and shell of the shrimp before cooking,,
32,3,16,You can also use frozen shrimp for this recipe,,
33,3,17,Make sure to thaw it first before cooking,,
34,3,18,The fried tofu is added next,,
35,3,19,Give it a quick stir and then add the mung bean sprout and carrot,,
36,3,20,Toss and saute for 1 to 2 minutes,,
37,3,21,Next goes the bell peppers,,
38,3,22,Season with oyster sauce and ground black pepper,,
39,3,23,Fish sauce or patis can also be used as a substitute to oyster sauce,,
40,3,24,Add the shrimp,,
41,3,25,Cook until it turns orangey,,
42,3,26,You can also add the seasoning,,
43,5,1,Heat the cooking oil in a pan,,
44,5,2,"Once the oil becomes hot, saute the garlic and onion",,
45,5,3,Put-in the pork and then cook for 5 minutes or until color turns medium brown,,
46,5,4,Pour-in half of the beef broth,,
47,5,5,Let boil and simmer until the liquid totally evaporate,,
48,5,6,Put-in the cabbage,,
49,5,7,Cook for 1 to 2 minutes,,
50,5,8,Add the red bell pepper,,
51,5,9,Stir and cook for 1 minute more,,
52,5,10,Add salt and pepper to taste,,
53,5,11,Pour-in remaining beef broth,,
54,5,12,Let boil,,
55,5,13,Stir,,
56,5,14,Transfer to a serving bowl,,
57,5,15,Serve,,
58,5,16,Share and enjoy!,,
59,6,1,Heat cooking oil in a pan,,
60,6,2,Fry the tofu in medium heat for about 4 to 5 minutes per side,,
61,6,3,Turn off heat Remove the tofu from the pan and let cool,,
62,6,4,Slice the fried tofu into small cubes Set aside,,
63,6,5,"On the same pan, remove excess cooking oil until about 1 tablespoon of oil is left",,
64,6,6,Heat the pan Saut?Ÿ?? garlic and onion for about 2 minutes,,
65,6,7,Put-in the sliced tofu and cook for 2 to 3 minutes,,
66,6,8,Add the oyster sauce and ground black pepper,,
67,6,9,Stir Put-in the kangkong,,
68,6,10,Stir fry for 4 to 5 minutes,,
69,6,11,Add salt to taste and then put-in the chilies,,
70,6,12,Turn off heat Transfer to a serving plate,,
71,6,13,Serve,,
72,6,14,Share and enjoy,,
73,4,1,Drain sardines and place in small mixing bowl,,
74,4,2,"Add next 5 ingredients, mix well",,
75,4,3,Toast bread add sardine mixture evenly to 3 slices of toasted bread,,
76,4,4,Add greens Cover with remaining toast,,
77,7,1,You start by boiling the eggplant until its tender then remove the skin and chop,,
78,7,2,"In a pan, make it nice and hot saut?Ÿ?? the garlic onions and tomatoes over medium to hight heat",,
79,7,3,Once you can already smell the aroma of the vegetables add in the chopped eggplant and toss in your Knorr Chicken cubes,,
80,7,4,"Continue saut?Ÿ??ing for 5 minutes Add the scrambled eggs on top of the vegetables, try covering all sides",,
81,7,5,Continue to cook for about 3 minutes or until the egg is fully cooked,,
82,7,6,Now it&#039;s ready serve,,
83,8,1,"In a medium-sized pan make it nice and warm over high-medium heat, add oil and saut?Ÿ?? onions until soft and brown",,
84,8,2,Add water ketchup and crushed Knorr Chicken cubes,,
85,8,3,Let it boil until everything is dissolved and mixed properly,,
86,8,4,Lower the heat to simmer,,
87,8,5,Add in the sliced pechay and egg halves,,
88,8,6,Continue to simmer until pechay is cooked,,
89,8,7,Try not to stir too much to prevent the eggs from deforming,,
90,8,8,Add the fried tofu cubes,,
91,8,9,Continue to simmer for 2-3 minutes,,
92,8,10,Serve hot and Enjoy,,
93,8,1,Heat oil in cooking pot,,
94,9,2,Put-in ginger and cook for a minute,,
95,9,3,Add the corn and chicken stock,,
96,9,4,Stir and let boil,,
97,9,5,"Put-in the chicken, soy sauce, sesame oil, salt, and pepper",,
98,9,6,Let boil and cook for 7 to 10 minutes,,
99,9,7,Combine cornstarch with cold water and mix well,,
100,9,8,Add-in the mixture and stir continuously while cooking,,
101,9,9,Stir in the beaten eggs,,
102,9,10,Continue stirring to prevent the eggs from forming,,
103,9,11,Add the green onions and cook for another 2 minutes,,
104,9,12,Transfer to a serving bowl,,
105,9,13,Serve share and enjoy!,,
106,10,1,Place the ampalaya in a large bowl,,
107,10,2,Add salt and lukewarm water then leave for 5 minutesPlace the ampalaya in a cheesecloth then squeeze tightly until all liquid drips,,
108,10,3,Heat the pan and place the cooking oil,,
109,10,4,"Saute the garlic, onion, and tomato",,
110,10,5,Add the ampalaya mix well with the other ingredients,,
111,10,6,Put-in salt and pepper to taste,,
112,10,7,Beat the eggs and pour over the ampalaya then let the eggs cook partially,,
113,10,8,Mix the egg with the other ingredientsServe hot,,
114,10,9,Share and Enjoy!,,
115,11,1,"In a deep pan, heat and add olive oil",,
116,11,2,"Saute onion, garlic tomatoes and chicken bouillon for few minutes",,
117,11,3,Add ground pork and stir,,
118,11,4,Cook for 5-10 minutes over medium low heat until light brown and fully cooked,,
119,11,5,Pour-in water and bring into a quick boil,,
120,11,6,Cover pan and reduce heat to simmer to about 10 minutes,,
121,11,7,Taste to see is salt is needed,,
122,11,8,Add accordingly,,
123,11,9,Add pechay and stir,,
124,11,10,Simmer for 2 minutes,,
125,11,11,Transfer in a serving dish and serve hot with steamed rice Enjoy!,,
126,12,1,Start by getting your pan nice and hot over high heat,,
127,12,2,Add oil and saut?Ÿ?? garlic onion and tomatoes until soft,,
128,12,3,Add the rest of the okra shredded tinapa Knorr Pork Cubes and water,,
129,12,4,Let it simmer for about 5 minutes and thats it,,
