id,taggable_id,taggable_type,tag_name
1,1,recipe,breakfast
2,2,recipe,breakfast
3,3,recipe,lunch
4,5,recipe,lunch
5,6,recipe,lunch
6,4,recipe,snack
7,7,recipe,breakfast
8,8,recipe,breakfast
9,9,recipe,appetizer
10,10,recipe,breakfast
11,11,recipe,lunch
12,12,recipe,lunch
13,13,recipe,lunch
14,14,recipe,lunch
15,15,recipe,snack
16,16,recipe,dinner
17,17,recipe,dinner
18,18,recipe,lunch
19,19,recipe,dinner
20,20,recipe,lunch
21,21,recipe,lunch
22,22,recipe,breakfast
23,23,recipe,dinner
24,24,recipe,dinner
25,25,recipe,dinner
26,26,recipe,breakfast
27,27,recipe,breakfast
28,28,recipe,lunch
29,29,recipe,appetizer
30,30,recipe,snack
31,31,recipe,merienda
32,32,recipe,merienda
33,33,recipe,merienda
34,34,recipe,merienda
35,35,recipe,merienda
36,36,recipe,merienda
37,37,recipe,merienda
38,38,recipe,merienda
39,39,recipe,merienda
40,40,recipe,merienda
41,41,recipe,merienda
42,42,recipe,merienda
43,43,recipe,merienda
44,44,recipe,merienda
45,45,recipe,merienda
46,46,recipe,merienda
47,47,recipe,merienda
48,48,recipe,merienda
49,49,recipe,merienda
50,50,recipe,merienda
51,51,recipe,snack
52,52,recipe,snack
53,53,recipe,lunch
54,54,recipe,merienda
55,55,recipe,lunch
56,56,recipe,dinner
57,57,recipe,dinner
58,58,recipe,lunch
59,59,recipe,merienda
60,60,recipe,lunch
61,61,recipe,breakfast
62,62,recipe,breakfast
63,63,recipe,breakfast
64,64,recipe,breakfast
65,65,recipe,breakfast
66,66,recipe,breakfast
67,67,recipe,breakfast
68,68,recipe,breakfast
69,69,recipe,breakfast
70,70,recipe,breakfast
71,71,recipe,lunch
72,72,recipe,lunch
73,73,recipe,lunch
74,74,recipe,lunch
75,75,recipe,lunch
76,76,recipe,lunch
77,77,recipe,lunch
78,78,recipe,lunch
79,79,recipe,lunch
80,80,recipe,lunch
